wavelength,forest,grass,soil,urban,water
666.66,0.0172,0.03773,0.13469,0.15397,0.03388
669.85,0.01688,0.03709,0.1359,0.15423,0.03377000000000001
673.05,0.01661,0.037040000000000003,0.1368,0.1562,0.03382
676.25,0.01689,0.036460000000000006,0.137,0.15444999999999998,0.033920000000000006
679.45,0.01677,0.03707999999999999,0.13807999999999998,0.15454,0.03418
682.64,0.017000000000000005,0.03724,0.13885999999999998,0.15699000000000002,0.03448
685.84,0.01902,0.04234,0.15168999999999996,0.16942,0.039420000000000004
689.03,0.025899999999999996,0.05603,0.15278000000000003,0.16909,0.038650000000000004
692.23,0.03278000000000001,0.06971000000000001,0.15389999999999998,0.16874,0.03786
695.43,0.039650000000000005,0.08338,0.15498,0.16838,0.037110000000000004
698.62,0.04653999999999999,0.09703999999999999,0.15606000000000003,0.16805000000000003,0.036309999999999995
701.82,0.05341,0.11073,0.15716,0.16769000000000003,0.035559999999999994
705.02,0.060289999999999996,0.12439,0.15825000000000003,0.16734,0.03475
708.21,0.06717000000000001,0.13806000000000002,0.15937,0.16698999999999997,0.033990000000000006
711.41,0.07404999999999999,0.15172999999999998,0.16043000000000002,0.16665000000000002,0.033209999999999996
714.61,0.08093,0.16541,0.16153,0.16629000000000002,0.032429999999999994
717.8,0.08781,0.17907999999999996,0.16262,0.16595,0.03165
721.0,0.09467999999999999,0.19277,0.16370999999999997,0.1656,0.03088
724.2,0.10157000000000001,0.20642,0.16483,0.16525,0.0301
727.39,0.10843,0.22010000000000002,0.16591,0.16489,0.029349999999999998
730.59,0.11535000000000002,0.23378000000000002,0.16699999999999998,0.16454000000000002,0.02855
733.79,0.12219,0.24746000000000007,0.16808000000000003,0.16419,0.027780000000000006
736.98,0.12908000000000003,0.26110999999999995,0.16918000000000002,0.16383999999999999,0.02701
740.18,0.13596000000000003,0.27481,0.17029,0.16351000000000002,0.026240000000000003
743.38,0.14609999999999998,0.28792,0.17393999999999998,0.16395,0.026239999999999996
746.57,0.15686,0.30515,0.17809000000000003,0.16670999999999997,0.02681
749.77,0.1622,0.31384999999999996,0.18007999999999996,0.1684,0.026789999999999998
752.97,0.16502,0.31793,0.18143000000000004,0.16882,0.026869999999999998
756.16,0.16783,0.32200999999999996,0.18278,0.16926000000000002,0.02696
759.36,0.17063,0.32609000000000005,0.18413,0.16968,0.02705
